# 커밋 47cf8e2 · 뽑은 시각 2026-08-31 20:57 · DB C:/Users/정영민/AppData/Local/Temp/claude/C--Users-----Desktop-----------/aa513b3c-03be-410f-b5bd-77f27ada4fab/scratchpad/vocab.db
# 이 줄 아래가 그 시점의 답이다. 코드가 바뀌면 다시 뽑고 O/X 를 옮긴다.
질문,봇이 낸 문서,URL,인용 앞부분,의심,검수 OX,올바른 문서(X일 때만),메모
현장실습,현장실습지원센터 · 전북대학교 현장실습지원센터,https://fieldwork.jbnu.ac.kr/bbs/board.php?bo_id=cmu01&wr_id=5518,일시 | 2026.06.23.(화) 14시 장소 | JBNU 인터내셔널센터 7층 동행홀,,,,[info.search]
취업 상담,취업진로지원과 · 취업진로상담,https://career.jbnu.ac.kr/career/21939/subview.do,"진로취업상담 취업진로지원과에서는 진로 및 취업에 대한 맞춤형 상담을 상시 제공하고 있습니다. (재학생, 휴학생, 졸업생 가능)",,,,[info.search]
창업 지원,창업교육센터 · 전북대학교 창업교육센터 - 학생창업지원 프로그램,https://startup.jbnu.ac.kr/main/?gc=1035DIRF,창업문화확산 프로그램(캠프) 창업 아이디어 발굴 및 팀빌딩 창업 시뮬레이션,,,,[info.search]
심리상담,화면 그대로 · safety,,요즘 많이 지치셨나 봐요. 상담받을 수 있는 곳을 알려드릴게요. · 전북대 행복드림센터 063-219-5301 (진수당 1층) 지금 위험한 상황,❗,O,,[safety] 대표가 8/31 전화로 확인 (크롤 아님) · verified_method: phone
수강신청 공지,건축공학과 · 학부,https://archi.jbnu.ac.kr/bbs/archi/1086/397328/artclView.do,2026학년도 2학기 1학년 교양과목 일괄수강신청 취소 안내,,,,[notice.search] (공지 검색이라 제목·게시일·링크만 냅니다. 본문은 안 읽어요)
교환학생,(답 못 함),,,,,,info.search · 폴백→no-alias
모집 공고,전북대학교 본부 · 교내공지,https://www.jbnu.ac.kr/web/Board/216092/detailView.do,2026학년도 2학기 재학생-재학생 멘토링 프로그램 멘토 모집,,,,[notice.search] (공지 검색이라 제목·게시일·링크만 냅니다. 본문은 안 읽어요)
기계공학과 교수,기계공학과 · 교수,https://me.jbnu.ac.kr/me/22401/subview.do,"게시물 검색 이름 전공 연구분야 강채동 교수 전공 냉동 공기조화, 열역학, 열전달 등 전화번호 063-270-2318 이메일 ckang@jbnu",,,,[info.search]
간호대학 연혁,간호대학 · 연혁,https://nursing.jbnu.ac.kr/nursing/7482/subview.do,2025 08월 11일 간호대학-건강보험심사평가원 전북본부 MOU 체결 08월 08일 간호대학-美 위스콘신 밀워키 간호대학 MOU 체결 07월 ,,,,[info.search]
컴퓨터인공지능학부 교육과정,컴퓨터인공지능학부 · 연혁,https://csai.jbnu.ac.kr/csai/29029/subview.do,"2023 컴퓨터인공지능학부 통합(컴퓨터공학부, IT지능정보공학과) 교과과정 개편 및 컴퓨터공학 및 인공지능 전공 신설 2022 IT정보공학과 I",,,,[info.search]
총장 누구야,(답 못 함),,,,,,info.search · 폴백→no-alias
